0 0.3313 0.3281 0.3406
1 0.3651 0.3032 0.3317
2 0.3991 0.2852 0.3157
3 0.4263 0.2702 0.3035
4 0.4483 0.26 0.2917
5 0.4664 0.2526 0.281
6 0.4801 0.2515 0.2684
7 0.4926 0.246 0.2614
8 0.4966 0.2504 0.253
9 0.4949 0.2518 0.2533
10 0.4962 0.2552 0.2486
11 0.493 0.2532 0.2538
12 0.4925 0.2534 0.2541
13 0.4935 0.2524 0.2541
14 0.486 0.2618 0.2522
15 0.4848 0.2599 0.2553
16 0.482 0.2587 0.2593
17 0.4903 0.2574 0.2523
18 0.4852 0.2637 0.2511
19 0.4924 0.2597 0.2479
20 0.482 0.2673 0.2507
21 0.4799 0.2592 0.2609
22 0.4832 0.2611 0.2557
23 0.4934 0.252 0.2546
24 0.494 0.247 0.259
25 0.4861 0.2568 0.2571
26 0.488 0.25 0.262
27 0.4866 0.2545 0.2589
28 0.4967 0.2492 0.2541
29 0.4896 0.2598 0.2506
30 0.4766 0.2661 0.2573
31 0.4868 0.2564 0.2568
32 0.4907 0.2481 0.2612
33 0.4946 0.2487 0.2567
34 0.4905 0.2591 0.2504
35 0.486 0.2611 0.2529
36 0.4814 0.2621 0.2565
37 0.4858 0.2573 0.2569
38 0.4871 0.2532 0.2597
39 0.4969 0.2456 0.2575
40 0.5067 0.2448 0.2485
41 0.5084 0.2489 0.2427
42 0.5041 0.2555 0.2404
43 0.4978 0.2557 0.2465
44 0.4976 0.2531 0.2493
45 0.4915 0.2586 0.2499
46 0.4828 0.2541 0.2631
47 0.4861 0.2564 0.2575
48 0.4784 0.265 0.2566
49 0.4809 0.2687 0.2504
50 0.4817 0.2635 0.2548
51 0.4802 0.2576 0.2622
52 0.4783 0.2652 0.2565
53 0.4819 0.2593 0.2588
54 0.484 0.2521 0.2639
55 0.4919 0.2518 0.2563
56 0.4986 0.2536 0.2478
57 0.4929 0.2608 0.2463
58 0.4863 0.2599 0.2538
59 0.4874 0.2518 0.2608
60 0.4882 0.2523 0.2595
61 0.4908 0.2468 0.2624
62 0.4914 0.2526 0.256
63 0.4885 0.2581 0.2534
64 0.4996 0.2487 0.2517
65 0.495 0.2537 0.2513
66 0.4808 0.2655 0.2537
67 0.4809 0.2589 0.2602
68 0.486 0.2555 0.2585
69 0.4833 0.2596 0.2571
70 0.4858 0.2584 0.2558
71 0.4802 0.2677 0.2521
72 0.4835 0.2593 0.2572
73 0.4889 0.253 0.2581
74 0.4864 0.2587 0.2549
75 0.4841 0.2619 0.254
76 0.4853 0.2611 0.2536
77 0.4791 0.2573 0.2636
78 0.479 0.2577 0.2633
79 0.4861 0.2531 0.2608
80 0.483 0.2584 0.2586
81 0.4906 0.2515 0.2579
82 0.4944 0.2511 0.2545
83 0.4947 0.2531 0.2522
84 0.4985 0.2469 0.2546
85 0.5107 0.2447 0.2446
86 0.5016 0.2496 0.2488
87 0.505 0.2526 0.2424
88 0.4928 0.2606 0.2466
89 0.4842 0.2619 0.2539
90 0.4786 0.2639 0.2575
91 0.4745 0.2621 0.2634
92 0.4806 0.2562 0.2632
93 0.4887 0.252 0.2593
94 0.4866 0.2528 0.2606
95 0.4904 0.253 0.2566
96 0.4971 0.2533 0.2496
97 0.498 0.2507 0.2513
98 0.4997 0.2523 0.248
99 0.5009 0.2532 0.2459
